Orton,South Dakota,58.6,34.6,17.5
Waubay,South Dakota,54,32.4,21.1
Thunder Hawk,South Dakota,,,17.9
Murdo,South Dakota,60.8,35.2,18.4
Oral,South Dakota,62.9,32.3,16.5
Canistota,South Dakota,,,22.9
Faulkton,South Dakota,56.6,32.2,19.3
Parkston,South Dakota,60,33.5,21.7
Canning,South Dakota,59.2,35.1,17.6
Bison,South Dakota,56.9,33.8,16.4
Fairfax,South Dakota,59.1,35.3,24.8
Fort Thompson,South Dakota,,,17.8
Ludlow,South Dakota,56.2,31.2,15
Buffalo Ridge,South Dakota,56.8,34.6,25.1
Winner,South Dakota,62,36.9,21.4
Dudley,South Dakota,61.2,33.1,15.9
Doland,South Dakota,,,23.3
Kadoka,South Dakota,61.5,32,15.9
Ipswich,South Dakota,56.2,30.5,18.7
Marion,South Dakota,58.4,34.6,25.3
Artas,South Dakota,,,19
Armour,South Dakota,60.9,35.5,23
Wentworth,South Dakota,56.2,33.2,23.8
Marietta,South Dakota,62.6,33,16.3
Martin,South Dakota,61.7,33.8,17.9
Dumont,South Dakota,54.9,33.1,23.8
Mission,South Dakota,60.2,33.9,19.8
Edgemont,South Dakota,61.7,31.1,16.2
Kirley,South Dakota,59.1,34.1,14.7
Myersville,South Dakota,55.7,31.4,28.4
Orient,South Dakota,,,21.1
Sioux Falls,South Dakota,56.6,34.9,26.4
Flandreau,South Dakota,55.5,32.4,23.7
Bath,South Dakota,55.3,31.3,21.7
Pringle,South Dakota,56,28.9,18.8
Rosholt,South Dakota,52.9,31.6,22.2
Buffalo,South Dakota,57.1,29.7,13.5
Pukwana,South Dakota,61.5,34.2,17.2
Stephan,South Dakota,58.1,31.3,18.8
Seneca,South Dakota,57.5,31.6,18.2
Manderson,South Dakota,62,32.7,17.7
Vermillion,South Dakota,59,35,24.9
Artesian,South Dakota,58.9,33,21.6
Ordway,South Dakota,,,22
Rockham,South Dakota,,,18.6
Tulare,South Dakota,,,19.8
Hoover,South Dakota,58.6,30.3,17.1
Ree Heights,South Dakota,,,21.4
Cottonwood,South Dakota,59,32,16.1
Sansarc,South Dakota,58.7,33.9,16.4
Orman,South Dakota,60.6,33,14.9
Lees Corner,South Dakota,57.6,33.3,17.5
Keystone,South Dakota,56,36.1,21.7
Lantry,South Dakota,58.2,33.1,17.2
Tyndall,South Dakota,60.2,36.2,23.6
Tuthill,South Dakota,60.6,33.3,19.4
Deerfield,South Dakota,52.5,23.3,20.9
Marksville,South Dakota,59.1,33,17.8
Stratford,South Dakota,,,18
Little Eagle,South Dakota,56.2,30.8,17.1
Redig,South Dakota,57.3,30.4,14.6
Andover,South Dakota,54.5,33.1,23.7
Mission Lake,South Dakota,59.2,34,19.8
Sharps Corner,South Dakota,62.2,32.2,18.5
Wood,South Dakota,62.4,35.1,19.3
Gallup,South Dakota,,,20
Seneca - 2nd Street,South Dakota,,,20.8
Bonilla,South Dakota,,,18.4
Fruitdale,South Dakota,60.8,32.2,15.3
Columbia - Elm River,South Dakota,,,22.3
Howard,South Dakota,57.2,33.2,22.5
Vale,South Dakota,58.1,32.3,15.4
North Meade,South Dakota,59,30.2,15
Chase,South Dakota,59,33.2,15.1
Fulton,South Dakota,58.9,34.9,22.3
Timber Lake,South Dakota,56.4,32.3,18.2
Buffalo Gap - South,South Dakota,68.4,37.8,18.3
Fort Pierre,South Dakota,58.4,35,14
Amherst,South Dakota,55.1,31.8,20.2
Elk Point,South Dakota,,,27.1
Box Elder,South Dakota,58,36,16.6
Igloo,South Dakota,,,12.8
Whitewood,South Dakota,56.5,31.1,28.3
Duxbury,South Dakota,,,22
Salem,South Dakota,55.6,34.7,25.5
Hot Springs - Black Hills National Forest,South Dakota,,,13.8
De Smet,South Dakota,56,33.2,23
Smithwick,South Dakota,,,13.7
Beresford,South Dakota,58.9,35.2,25.1
Owanka,South Dakota,61.8,33.7,16.4
Ridgeview,South Dakota,55.3,32.5,18.2
Elm Springs,South Dakota,60,33.6,16.5
Bowdle,South Dakota,54.5,29.7,18.5
Maurine,South Dakota,57.2,32,18.2
Glad Valley,South Dakota,56.2,31.9,17.5
Blackhawk,South Dakota,58.8,31.4,19.2
Dupree,South Dakota,58.5,32.8,16.5
Isabel,South Dakota,,,18.5
Orland,South Dakota,56.6,34,26.7
Antelope - Park Pond Dam,South Dakota,57.4,29.9,
Rochford,South Dakota,55.4,22.5,20.1
Wendte,South Dakota,62.3,34.6,16.6
Cresbard,South Dakota,,,16.2
Wessington Springs,South Dakota,57.5,37.2,22.4
Pierre,South Dakota,59,36,16.5
Oelrichs - West,South Dakota,,,13.3
Teton,South Dakota,,,15.9
Martin - Airport,South Dakota,60.4,34.6,17.6
Kyle,South Dakota,62.2,32.5,16.2
Sisseton,South Dakota,55,33.1,22.6
White Lake,South Dakota,59.8,35.1,20.6
Hayti,South Dakota,,,24.4
Lander - Pauls Irrigation Dam,South Dakota,56.7,29.7,16.9
Colome,South Dakota,58.6,35.6,21.6
Oelrichs,South Dakota,62,32.9,17.2
Pollock,South Dakota,56.3,30.1,16.4
Turton,South Dakota,55.5,32.2,22.8
Ellingson,South Dakota,55.4,30.1,14.5
Redfield,South Dakota,56.4,31.5,19.9
Union Center,South Dakota,58.7,37,24.2
Hot Springs,South Dakota,60,35,15.1
Bridgewater,South Dakota,58.3,35,25.1
Selby,South Dakota,55.3,31.7,17.5
Bullhead,South Dakota,55.9,31.2,16.4
Minnekahta,South Dakota,,,13.9
Hereford,South Dakota,60.2,34.2,19.4
Pickstown,South Dakota,60.5,37.2,22.5
Garretson,South Dakota,55.5,34.5,27.7
Milesville,South Dakota,59,33.6,16.5
Fort Meade,South Dakota,60.2,35.2,20.2
McLaughlin,South Dakota,,,17.1
Ralph,South Dakota,57.1,28.6,15.2
Prairie Village,South Dakota,55.5,33.6,25.8
Forest City,South Dakota,58.1,33,18.6
Meadow,South Dakota,58.6,29.7,14.7
North Spearfish,South Dakota,62.2,35.9,18.1
Faith,South Dakota,58.5,33.7,16.6
Iroquois,South Dakota,9,,21.1
Eagle Butte,South Dakota,55,30.1,18.2
Canton,South Dakota,58.9,35,24.4
Big Stone City,South Dakota,,,24.1
Bristol,South Dakota,,,23.7
Mobridge,South Dakota,56.8,33.1,17.9
Fort Sully,South Dakota,60.6,33.1,14.6
Deadwood,South Dakota,55,33.6,27.2
Pine Ridge,South Dakota,61.9,32.6,16.7
Lake City,South Dakota,53.2,31.7,23.9
Spearfish,South Dakota,59.1,35,20.9
Empire,South Dakota,60,31.7,16.6
Jewel Cave National Monument,South Dakota,,,14.6
Lake Platte,South Dakota,,,23.2
Winfred,South Dakota,54.8,33.5,
Wolsey,South Dakota,62.4,37.5,23.7
Leola,South Dakota,55.1,30.6,19.2
Buffalo Gap,South Dakota,62.7,33.3,17.1
Sulphur,South Dakota,,,12.1
Glenham,South Dakota,56.6,32.8,16.7
Wetonka,South Dakota,,,18.3
Wessington,South Dakota,2,,19.6
Rich Valley,South Dakota,59.2,35.4,19.9
Clark,South Dakota,54.7,31.8,22.5
Britton,South Dakota,55,31,19
Ortley,South Dakota,52.7,30.7,22.9
Grandview,South Dakota,59.4,34.8,23.5
White River,South Dakota,62.3,35.7,18.5
Conde,South Dakota,54.8,31.4,20.1
Alexandria,South Dakota,59.5,35.2,22.3
Frederick,South Dakota,55,26,19
Hayes,South Dakota,59.4,31.5,17.9
Anderston,South Dakota,57.8,31.1,17.5
Kennebec,South Dakota,61.2,33.6,17.7
Black Eyes,South Dakota,57,30.3,20
Wounded Knee,South Dakota,60.9,34.6,18
Belvidere,South Dakota,62.1,32.8,16
Redfield - Airport,South Dakota,57.3,32,18.5
Kranzburg,South Dakota,53.9,31.3,21.4
Lead,South Dakota,,,23.8
Willow Creek Lake,South Dakota,,,20
Carthage,South Dakota,57.2,32.6,22.1
Castlewood,South Dakota,55,30.9,22.4
Hermosa,South Dakota,60,32.8,17
Colton,South Dakota,,,27.3
Aberdeen,South Dakota,54.6,31.5,21.7
Redowl,South Dakota,58,31.7,16.6
Bonesteel,South Dakota,59.8,35.5,25.1
Gettysburg - Bob's Resort,South Dakota,58.3,32.5,16.6
Milbank,South Dakota,55.4,32.3,22.5
Ellsworth Air Force Base,South Dakota,63.9,34,17.7
Yankton,South Dakota,59,36,24.5
Astoria,South Dakota,53.3,32.8,26.7
Roscoe,South Dakota,54.6,30.9,19.2
Fox Ridge,South Dakota,58.5,31.7,18.2
Nemo,South Dakota,55.6,27.6,20.3
Madison,South Dakota,55.4,33.7,24.8
Fountain,Colorado,65.2,37.3,14.3
Pagosa Springs,Colorado,60.6,24,20.2
Eckley,Colorado,,,14.2
Las Animas,Colorado,69,35,12.6
Dinosaur,Colorado,61.5,33.4,11.4
Elbert,Colorado,61.3,28,18.6
Black Canyon - Gunnison National Park,Colorado,57.7,29.1,21
Pagosa Springs - Pinon Lake,Colorado,58.7,30.4,22.5
Lujane,Colorado,52.6,32.1,19.7
New Raymer,Colorado,64,32.9,14.8
Kremmling,Colorado,55.1,21.9,11.9
Malashite,Colorado,66.4,34.2,9.2
Cascade,Colorado,63.3,35.1,13.2
Stratton,Colorado,65.8,36.9,17.5
Hermit,Colorado,52.5,16.1,15.9
Cedaredge,Colorado,59.5,36.9,14.2
Kiowa,Colorado,,,16.8
Otis,Colorado,63,34.5,16.6
Fruita,Colorado,65.4,40.2,8.7
Silverton,Colorado,52.2,18.4,24.5
Crawford,Colorado,63.2,34.4,9.5
Grand Lake,Colorado,52.9,20.1,19
Sheridan Lake - Main Street,Colorado,66.6,36.7,16.4
Fort Lupton,Colorado,59.8,27.4,19.1
Two Buttes,Colorado,69.2,38.3,13.9
Jasper,Colorado,59,24,7.2
Ignacio,Colorado,63.4,28.2,14
San Luis Lakes,Colorado,60,24.4,5.9
Ouray,Colorado,56.5,32.1,23.1
Campo,Colorado,69.9,39.1,16.3
Kauffman,Colorado,63,31.5,13.1
Sheridan Lake,Colorado,,,15.5
Oak Creek,Colorado,51.8,24.2,21.2
Kit Carson,Colorado,67.2,34.1,14.6
Norwood,Colorado,59.9,29.9,15.4
Herlick Canyon,Colorado,,,21.4
Flagler,Colorado,64.2,34.1,16.5
Genesee,Colorado,56.2,35,22.8
Allenspark,Colorado,53.2,27.8,20.8
Clarkville,Colorado,64.4,34.5,
Paonia,Colorado,64.1,35.2,15.4
Arapahoe,Colorado,,,17.3
Aurora,Colorado,64.4,36.6,15.4
Longmont,Colorado,64,32,13.3
Morrison,Colorado,,,22.4
Rico,Colorado,55.1,22.4,26.4
Roxborough Park,Colorado,63,35.5,21.4
Buena Vista,Colorado,59,27,9.4
Twin Lakes,Colorado,46.1,16,29.8
Pritchett,Colorado,,,13.9
Bayfield,Colorado,58.5,27.1,26.1
Timpas,Colorado,68.5,38.2,15.3
Holly,Colorado,68,35,15.5
La Junta,Colorado,70.4,37.7,14.4
Silverthorne,Colorado,54.6,24.4,15
Silt,Colorado,64.3,31.2,11.6
Loma,Colorado,66.8,34.4,9.2
Shawnee,Colorado,58.2,24.9,16.6
Gypsum,Colorado,59,24,10.5
Oro,Colorado,48.5,21.5,15.7
Strontia Springs,Colorado,63,32.7,21.7
Matheson - Heliport,Colorado,62.2,33.3,17.6
Hartsel,Colorado,53,18.3,10.3
Caribou City,Colorado,45.9,24.9,28.4
Ramah,Colorado,,,14.7
Carson Lake,Colorado,65.5,34,
Byers,Colorado,65.2,34,14.8
Amy,Colorado,,,11.9
Kim,Colorado,67.9,37,16.7
Deer Trail,Colorado,59.8,29.5,17.3
Granby,Colorado,51,21,14.2
Avondale,Colorado,,,11.9
Creede,Colorado,52.9,16.4,10.4
Bushnell - Bourlier Windmill,Colorado,61.1,31.1,16.8
Vernon,Colorado,,,18.9
West Burlington,Colorado,64.4,36.4,17.5
Vilas,Colorado,68,38.6,17.6
Durango,Colorado,61.8,30.5,16.1
Boone,Colorado,,,8.4
Dumont,Colorado,48.3,24.7,19.7
Pueblo West,Colorado,68.9,37,12.7
Fairplay,Colorado,50.1,25.6,14.8
Fort Carson,Colorado,4,,18.8
Bridgeport,Colorado,66.4,35.3,10
Weston,Colorado,56.8,26.5,20.1
Center,Colorado,58.4,24.3,7
Broomfield,Colorado,67.8,37,14.3
Rand,Colorado,51.3,22,15
Tacoma,Colorado,47.9,20.7,16.7
Red Feather Lakes,Colorado,53.3,16.4,17.2
Grant,Colorado,53.7,24.7,15.6
Ordway,Colorado,67.4,34.8,12.4
Palisade,Colorado,67.2,40.8,10
Ferncliff,Colorado,53.1,27.9,21
Hoehne,Colorado,68,34,13.5
Hot Sulphur Springs,Colorado,63.2,37.1,18.2
Meeker,Colorado,58.9,28.3,16.1
Walsenburg,Colorado,66,38,14.1
Wray,Colorado,66.9,35.4,17.7
Battlement Mesa,Colorado,65.8,33,13.5
Henson,Colorado,55.3,22.6,14.2
Yellow Jacket,Colorado,61.6,34.2,15.6
Saguache,Colorado,57,26,8.7
Edwards,Colorado,60.1,25.3,10.7
Eckert,Colorado,63.3,34.8,12.5
Cimarron Hills,Colorado,60,33,17.5
Sapinero,Colorado,56.2,24.9,9.5
Castlewood Canyon State Park,Colorado,,,17.3
Cheraw,Colorado,69.1,39,11.4
Kutch,Colorado,61.9,30.8,13.2
Cornish,Colorado,63,34,17.5
Antlers,Colorado,63.2,33.4,14.3
Grand Mesa,Colorado,43.7,19.1,29.8
Aspen,Colorado,54.7,26.9,17.3
South Fork,Colorado,45.9,21.5,45.4
Greystone,Colorado,64,29,8.8
Livermore,Colorado,53.8,26.3,16
Palmer Lake,Colorado,58.1,31.2,22.9
Delta,Colorado,67.1,33.8,7.9
Paradox,Colorado,67.1,34.1,13.3
Blanca,Colorado,60,24,8.8
Dove Valley,Colorado,62.9,36.2,17.4
United States Air Force Academy,Colorado,,,16.7
Stoneham,Colorado,57.6,29.7,16.8
Trout Lake,Colorado,50.5,21.5,9.9
Walsh,Colorado,68.3,39,18
Larkspur,Colorado,,,15.7
Penrose,Colorado,,,11.7
Mesa,Colorado,46.6,22.4,26.6
Powderhorn,Colorado,56.3,25,9.5
Prospect Heights,Colorado,66,39,13
Vail,Colorado,51.2,23.7,23.1
Model,Colorado,59.8,29.5,12.9
McClave,Colorado,69.9,37.8,15.3
Fraser,Colorado,50.2,14.8,19.1
Brush,Colorado,63,34,17.5
Yoder,Colorado,62.2,32.2,13.8
Ohio City,Colorado,55.4,19.5,10.3
Valley View,Colorado,,,22.3
Gould,Colorado,50.8,20.3,22.3
Olathe,Colorado,,,6.5
Littleton,Colorado,64.5,36,16.6
Genoa,Colorado,62.1,33.6,16.1
Olney Springs,Colorado,68.2,35.7,11.2
Ouray - Cascade Creek,Colorado,56.5,32.6,24.5
Woody Creek,Colorado,55.8,25.7,19.4
Avon,Colorado,55.6,24.9,18
Glade Park,Colorado,64.4,40.3,11.1
Fort Morgan,Colorado,63.8,33.8,13.4
La Junta - Cheraw Lake,Colorado,68.7,36.1,13.1
Pine,Colorado,62.7,28.6,15.9
Yuma,Colorado,65.8,36,17.2
Karasjok,Colorado,60.7,27.2,18.7
De Beque,Colorado,63,30.5,16.6
Massadona,Colorado,60.9,32.7,14.6
Aroya,Colorado,,,11.5
Parshall,Colorado,52.6,21.9,14.6
Hereford,Colorado,62.5,32.4,20.5
Woodmoor,Colorado,59.4,32.5,22
Smith Place,Colorado,55.3,16.1,11.5
Liberty,Colorado,,,9.8
Georgetown,Colorado,55.1,30,16.4
Pitkin,Colorado,50.1,16.8,17.9
Fleming - Wendell Goff Dam,Colorado,63.9,35.2,18.7
Lime,Colorado,,,14.1
Emma,Colorado,61.1,26.9,15.1
Marvine,Colorado,56.4,24.7,20.5
Codo,Colorado,,,21.6
Rye,Colorado,61.8,31.1,22.6
Grand Junction,Colorado,65.6,39.7,9.4
Red Wing,Colorado,66.4,37.3,16
San Miguel,Colorado,,,20.3
North Creede,Colorado,55.2,18.3,15.9
Gateway,Colorado,68.3,39.5,11.4
Louisville,Colorado,63.4,33.8,15.9
Castle Rock,Colorado,63.4,31.2,17.1
Chama,Colorado,59.9,30.4,10.4
Stonington,Colorado,,,17.2
Clifford,Colorado,62.8,30.2,15.6
Lake Moraine,Colorado,52.9,23,12.6
Trinidad,Colorado,67.3,36.6,13.1
Long's Peak,Colorado,51,21.7,13.9
Merino,Colorado,64,34.2,15.2
La Veta,Colorado,68.2,37.1,15.8
Fort Lyon,Colorado,71.1,36.2,12.8
Branson,Colorado,,,17.6
Louviers,Colorado,63.2,35.2,18.8
Paoli,Colorado,,,17.2
Romeo,Colorado,59.5,25.5,7.3
Lamar,Colorado,69,36.7,15.2
Windsor,Colorado,63.6,33.1,12.7
Springfield,Colorado,68.6,38.1,16
Cimarron,Colorado,59.8,23.3,13.4
Boulder,Colorado,64,38,18.3
Beckham Basin,Colorado,,,16.5
Burlington,Colorado,65.7,36.9,16.7
Winter Park,Colorado,51.9,17.2,26.8
Mesa Verde - Upper Navajo Canyon Trail,Colorado,56.2,38.3,20.4
North Ute Canyon,Colorado,69.5,41.1,17
Lakeman Lakes,Colorado,51.5,20.7,18
Poncha Springs,Colorado,62.9,28.9,10.8
Laporte,Colorado,56.7,34.2,21.6
Rockvale,Colorado,68.1,39.2,12.5
Alamosa,Colorado,59.2,23.9,7.3
Arriba,Colorado,61.8,36.3,16.6
Columbine Valley,Colorado,63.9,37.1,17.9
Pike-San Isabel Village,Colorado,,,10.7
Sedalia,Colorado,,,17.3
Mount Pearl,Colorado,66.7,34.4,17.5
Wolf Creek Pass,Colorado,51.6,26.1,42.5
Herperus,Colorado,58.3,28.3,18
La Jara,Colorado,59.3,23.7,7.1
Crowley,Colorado,70.1,34.9,11.3
Ward,Colorado,,,18.9
Araphoe - South Ladder Creek,Colorado,66.4,36.1,18.5
Cedar Point,Colorado,63.2,33,14.8
Guffey,Colorado,53.6,23.3,12.2
Del Norte,Colorado,59,27,8.5
Virginia Dale,Colorado,56,30,17.1
Monte Vista,Colorado,58.2,27.4,9.5
Wetmore,Colorado,65.2,35.4,19.1
Waverly,Colorado,58,23.1,10
Hotchkiss,Colorado,64.1,36.6,15.1
Klowa,Colorado,,,15.7
Manassa,Colorado,60,24,6
Kiowa - South,Colorado,,,16.9
Weaver Gulch,Colorado,62.9,31,17.9
Arboles,Colorado,64.9,32.3,12.1
Holyoke,Colorado,64.9,35.2,17.7
Shaw,Colorado,63.5,34.1,16.6
Summitville,Colorado,,,16.5
Antonito,Colorado,50.1,16,27.1
Breckenridge,Colorado,48.9,18.1,20.2
Olympus Heights,Colorado,57.7,31.2,16.5
Ponderosa Park,Colorado,61.5,34.1,19.7
Montrose,Colorado,63,34,9.5
Fort Collins,Colorado,63.7,36.9,16.1
Hillrose,Colorado,62.7,35,16.7
Artesia,Colorado,62.1,33.9,11.4
Evans,Colorado,57,29.7,11.5
Bedrock,Colorado,66.9,35.9,15.8
Crestone,Colorado,57.4,28.4,13.3
Fort Garland,Colorado,58.6,33.3,13.2
Nederland,Colorado,53.3,25.2,18
Wheat Ridge,Colorado,67.2,38.1,17.1
Tallman Gulch,Colorado,64.9,33,18.8
Ralston Reservoir,Colorado,63,39,18.6
Loveland,Colorado,64,32.2,15.8
Dolores,Colorado,61.7,30.9,18.6
Peetz,Colorado,64.4,36.1,18.5
Colorado City,Colorado,66.4,34.1,22.1
Seibert,Colorado,64.4,35.6,16.5
Gary,Colorado,,,15.6
Englewood,Colorado,65.8,33.8,16.9
Gunnison,Colorado,56,19,10.5
Swink,Colorado,70.5,39.2,15.1
Buford,Colorado,60.3,27,16.6
Conifer,Colorado,50,17.3,15.6
Basalt,Colorado,55.5,21.4,16.1
Arvada,Colorado,65.6,34.9,15.6
Jansen,Colorado,65.3,33.2,18
Black Hawk,Colorado,57,29.7,15.1
Fowler,Colorado,4,,11.3
Peyton,Colorado,,,14.9
Gleneagle,Colorado,,,16.3
Redstone,Colorado,54.2,26.5,15.1
Fleming,Colorado,8,,17.5
Pueblo,Colorado,68.7,35.3,12.6
Hamilton - South,Colorado,,,18.6
Garland City,Colorado,59,25.4,8.6
Aetna Estates,Colorado,64.7,36.3,14.3
Nathrop,Colorado,59,27.4,9.8
Wiggins,Colorado,66,33.8,18.2
Hayden,Colorado,58.2,26.9,16.8
Telluride,Colorado,55.8,23.3,23.1
Springfield - Airport,Colorado,,,15.6
Coal Creek,Colorado,50.7,28.4,24.6
Dove Creek,Colorado,61.1,29.5,12.5
Westcliffe,Colorado,59.6,25.6,15.4
Ridgway,Colorado,60.1,26.3,17
Denver,Colorado,64.1,36.4,15.6
Nepesta,Colorado,68,37,11.8
Parker,Colorado,63.3,33.8,14.1
Sargents,Colorado,,,14.2
Lindon,Colorado,63.8,33.8,15.4
Derby,Colorado,62,35,14.1
Sterling,Colorado,64,33,14.8
Mancos,Colorado,61.6,30.9,16.9
Limon,Colorado,61.1,35.5,16.1
Glendale,Colorado,60,35,17.2
Niwot,Colorado,64.5,32.7,13.5
Blue Valley,Colorado,55,22.1,24.1
Bellvue,Colorado,48.8,25.4,16.9
Nine Mile Gap,Colorado,60.4,28.9,14.1
Lucerne,Colorado,65.4,36,14.3
Salida,Colorado,61.2,29.2,8.7
Wilson Place,Colorado,60.9,32.2,10.6
Heeney,Colorado,,,16.2
Deckers,Colorado,60,30,16.1
Crook,Colorado,67.4,34.1,17.8
Greenwood,Colorado,66,33.8,18.2
Bonny Lake,Colorado,65.2,36.4,17.1
Aguilar,Colorado,62.9,33.6,19.4
Carson,Colorado,53,16,16.3
Pueblo - Northside Reservoir,Colorado,67.4,35.9,12.4
Dover,Colorado,61.8,32.3,15.3
Ovid,Colorado,62.1,34.7,17.6
Frisco,Colorado,42.9,18.8,24.7
Higbee,Colorado,68.4,39.2,15.3
Parlin,Colorado,55.7,19.9,11
Ophir,Colorado,54.2,25.6,25
Goodland - Turtle Creek,Colorado,65.1,34.5,19.5
Victor,Colorado,51.8,27.9,18.9
Idalia,Colorado,64,36.3,18.3
Sedgwick,Colorado,64.3,36.4,18.1
Forder,Colorado,67.6,33.8,11.9
Cortez,Colorado,65,32.1,13.6
Atwood,Colorado,62.6,35.2,17.4
Kinikinik,Colorado,53.9,29,12.9
Leadville,Colorado,47.9,17.9,18
Casa,Colorado,69,36,12.4
Fleming - Logan Avenue,Colorado,,,18.1
Hawthorne,Colorado,,,21
Vona,Colorado,64.6,34.9,18.9
Lakewood,Colorado,63.6,36.3,16.4
Karval,Colorado,65.1,35.6,13.8
Haswell,Colorado,,,13.7
Glenwood Springs,Colorado,62.8,31.5,16.4
Villa Grove,Colorado,59.3,26.4,8.3
Canon City,Colorado,68,40,12.7
Harboro,Colorado,,,19.4
Eads,Colorado,67.8,36.8,14.7
Briggsdale,Colorado,64.6,32.3,13.1
Dillon,Colorado,51.7,18,16
Empire,Colorado,40,18.4,37.5
Boone - Thatcher Dam,Colorado,,,12.9
Troy,Colorado,50.5,21.5,9.9
Rangely,Colorado,62.6,30,10.1
Rocky Ford,Colorado,69.8,36.1,12
Golden,Colorado,57.6,31.1,21
Granite,Colorado,51.3,22.2,9.6
Masonville,Colorado,63.5,34.9,15.5
Bond,Colorado,55.8,25.2,9.3
Marvel,Colorado,62.7,29.9,19.1
Eagle,Colorado,60,24,11.2
Pyramid Peak - Trout Creek School Ditch,Colorado,,,22.3
Clifton,Colorado,66.1,40.5,8.9
Matheson,Colorado,,,15.7
Elizabeth,Colorado,,,21.3
Pueblo - Airport,Colorado,68.1,36.7,10.8
Campion,Colorado,,,17.5
Black Forest,Colorado,,,18
Engleville,Colorado,66.6,36.8,16.3
Eastonville,Colorado,2,,19.2
Trinchera,Colorado,63.1,36.2,17.7
Coalmont,Colorado,51.5,22.3,13.4
Placerville,Colorado,61,31.2,16.3
Snowmass Village,Colorado,55.5,27.8,24.6
Drake,Colorado,63.6,33,16
Wagon Wheel Gap,Colorado,57,23.4,15.5
Wild Horse,Colorado,65.3,35.1,15.9
Monument,Colorado,60.3,30.8,19.1
Estes Park,Colorado,56.9,29.7,14
Almont,Colorado,49.2,16.4,16.8
